City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Simbahan,PH,2021-04-25 20:39:08,6.3032,120.5836,82.04,74,43,2.93
67,Kavaratti,IN,2021-04-25 20:34:43,10.5669,72.642,83.8,71,1,6.6
68,Severo-Kurilsk,RU,2021-04-25 20:34:51,50.6789,156.125,32.02,97,100,11.59
69,San Cristobal,VE,2021-04-25 20:39:09,7.7669,-72.225,89.6,55,40,11.5
70,Dingle,PH,2021-04-25 20:35:28,10.9995,122.6711,75.56,86,28,3.27
71,Vaini,TO,2021-04-25 20:33:46,-21.2,-175.2,75.2,100,75,5.75
72,Orsha,BY,2021-04-25 20:39:10,54.5153,30.4053,30.69,82,14,8.23
73,Ornskoldsvik,SE,2021-04-25 20:39:11,63.2909,18.7153,35.6,48,90,8.05
74,Ketchikan,US,2021-04-25 20:35:21,55.3422,-131.6461,57.2,33,1,8.05
75,Rabo De Peixe,PT,2021-04-25 20:39:11,37.8,-25.5833,59.0,77,75,10.36
76,Margate,GB,2021-04-25 20:34:10,51.3813,1.3862,46.99,66,30,5.01
77,San Marcos,US,2021-04-25 20:36:43,33.1434,-117.1661,68.0,52,40,9.22
78,Minot,US,2021-04-25 20:39:12,48.2325,-101.2963,42.8,61,90,12.66
79,College,US,2021-04-25 20:35:51,64.8569,-147.8028,54.0,35,1,0.94
80,Aykhal,RU,2021-04-25 20:39:13,66.0,111.5,4.95,94,100,25.19
81,Cape Town,ZA,2021-04-25 20:31:10,-33.9258,18.4232,62.01,94,20,8.05
82,Tasiilaq,GL,2021-04-25 20:32:18,65.6145,-37.6368,37.4,70,90,19.57
83,Mataura,NZ,2021-04-25 20:32:32,-46.1927,168.8643,46.0,80,66,11.01
84,Fort Morgan,US,2021-04-25 20:35:19,40.2503,-103.8,80.6,10,1,10.36
85,Great Bend,US,2021-04-25 20:39:14,38.3645,-98.7648,84.99,38,1,23.02
86,Ca Mau,VN,2021-04-25 20:39:15,9.1769,105.15,78.87,86,26,3.62
87,Khatanga,RU,2021-04-25 20:35:05,71.9667,102.5,3.81,90,85,13.18
88,Itanhem,BR,2021-04-25 20:39:15,-17.1664,-40.33,78.24,72,37,12.46
89,Coquimbo,CL,2021-04-25 20:35:55,-29.9533,-71.3436,62.6,72,0,11.5
