City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Maceio,BR,-9.6658,-35.7353,75.2,88,0,5.75,clear sky
80,Adrar,MR,20.5022,-10.0711,85.12,18,39,11.68,scattered clouds
81,Taoudenni,ML,22.6783,-3.9836,92.62,11,4,11.48,clear sky
82,Qaanaaq,GL,77.484,-69.3632,30.07,74,18,6.13,few clouds
83,Sioux Lookout,CA,50.1001,-91.917,48.2,25,75,8.05,broken clouds
84,New Norfolk,AU,-42.7826,147.0587,57.0,70,98,1.99,overcast clouds
85,Clyde River,CA,70.4692,-68.5914,21.2,100,90,28.77,light snow
86,Ndele,CF,8.4109,20.6473,72.32,90,100,5.55,overcast clouds
87,Brae,GB,60.3964,-1.353,41.0,93,0,3.44,clear sky
88,Fortuna,US,40.5982,-124.1573,55.99,76,90,11.5,overcast clouds
89,Cabedelo,BR,-6.9811,-34.8339,78.8,89,0,6.91,clear sky
90,Ribeira Brava,PT,32.65,-17.0667,59.0,88,51,16.87,broken clouds
91,Prokuplje,RS,43.2342,21.5881,46.4,57,0,6.91,clear sky
92,Hilo,US,19.7297,-155.09,75.99,83,90,3.44,light rain
93,Morgan City,US,29.6994,-91.2068,78.01,47,1,3.44,clear sky
94,Vila Velha,BR,-20.3297,-40.2925,78.8,83,40,5.75,scattered clouds
95,Disna,BY,55.568,28.1971,29.93,95,21,8.59,few clouds
96,General Cepeda,MX,25.3833,-101.45,82.4,28,1,11.5,clear sky
97,Butaritari,KI,3.0707,172.7902,82.81,74,15,12.08,few clouds
98,Saint George,US,37.1041,-113.5841,82.4,10,1,33.38,clear sky
99,Port Hardy,CA,50.6996,-127.4199,51.8,82,75,6.91,light rain
100,Tselinnoye,RU,53.0833,85.6667,34.09,79,99,5.23,overcast clouds
101,Lavrentiya,RU,65.5833,-171.0,30.76,86,87,1.36,overcast clouds
102,La Baneza,ES,42.3003,-5.8977,48.2,100,90,2.82,overcast clouds
103,Nikolskoye,RU,59.7035,30.7861,37.99,93,90,8.95,overcast clouds
104,Tautira,PF,-17.7333,-149.15,86.0,66,20,5.75,few clouds
105,Port Alfred,ZA,-33.5906,26.891,70.09,61,100,12.93,overcast clouds
106,Olafsvik,IS,64.8945,-23.7142,41.0,88,23,14.7,few clouds
107,Dingolfing,DE,48.6333,12.5,41.0,77,62,4.45,broken clouds
108,Marawi,PH,7.9986,124.2928,75.99,92,100,4.0,overcast clouds
109,Dingle,PH,10.9995,122.6711,76.03,85,29,3.24,scattered clouds
110,Georgetown,MY,5.4112,100.3354,81.0,89,20,2.3,few clouds
111,Glenwood Springs,US,39.5505,-107.3248,72.0,36,53,20.71,broken clouds
112,Klaksvik,FO,62.2266,-6.589,44.6,100,100,13.8,overcast clouds
113,Chuy,UY,-33.6971,-53.4616,62.76,76,96,12.68,overcast clouds
114,Panguna,PG,-6.3164,155.4848,77.2,65,83,1.03,broken clouds
115,Bloomfield,US,40.8068,-74.1854,64.4,39,90,10.36,overcast clouds
116,Karratha,AU,-20.7377,116.8463,75.09,55,0,7.81,clear sky
117,Urumqi,CN,43.801,87.6005,41.0,36,0,2.24,clear sky
118,Airai,TL,-8.9266,125.4092,54.93,82,21,1.81,few clouds
119,Husavik,IS,66.0449,-17.3389,37.4,93,90,13.8,overcast clouds
120,Katsuura,JP,35.1333,140.3,55.0,25,53,1.99,broken clouds
121,Sembakung,ID,3.8167,117.25,78.8,94,75,2.3,broken clouds
122,Shahpur,IN,16.7,76.8333,90.61,30,100,6.64,overcast clouds
123,Puerto Leguizamo,CO,-0.1934,-74.7819,79.5,80,83,2.84,broken clouds
124,Cabo San Lucas,MX,22.8909,-109.9124,84.0,20,90,6.91,overcast clouds
125,Gelemso,ET,8.8167,40.5167,62.33,85,99,4.81,light rain
126,Ahipara,NZ,-35.1667,173.1667,62.15,79,70,8.21,broken clouds
127,Tecoanapa,MX,16.5167,-98.75,85.44,64,95,10.71,overcast clouds
128,Saldanha,ZA,-33.0117,17.9442,60.8,94,81,4.61,broken clouds
129,Kavieng,PG,-2.5744,150.7967,82.2,74,100,3.06,light rain
130,Zima,RU,53.9202,102.0442,31.3,83,54,9.78,broken clouds
131,Moengo,SR,5.6167,-54.4,75.96,92,90,4.72,overcast clouds
132,La Paz,BO,-16.5,-68.15,53.6,26,20,11.5,few clouds
133,Beringovskiy,RU,63.05,179.3167,31.33,90,100,1.39,overcast clouds
134,Laramie,US,41.3114,-105.5911,64.4,16,40,24.16,scattered clouds
135,Parati,BR,-23.2178,-44.7131,71.6,78,0,3.44,clear sky
136,Galle,LK,6.0367,80.217,79.47,81,11,2.26,few clouds
137,Tigre,AR,-34.426,-58.5796,64.0,77,0,4.61,clear sky
138,Cherskiy,RU,68.75,161.3,13.26,88,98,5.19,overcast clouds
139,Yakeshi,CN,49.2833,120.7333,44.22,46,99,6.2,overcast clouds
140,Saskylakh,RU,71.9167,114.0833,16.29,93,100,22.44,light snow
141,Thompson,CA,55.7435,-97.8558,32.0,86,90,10.36,light snow
142,Pisco,PE,-13.7,-76.2167,66.2,88,20,9.22,few clouds
143,Cidreira,BR,-30.1811,-50.2056,68.02,70,83,12.59,broken clouds
144,Aken,DE,50.7766,6.0834,43.0,72,100,4.79,overcast clouds
145,Sitka,US,57.0531,-135.33,55.4,47,20,5.75,few clouds
146,Kathu,TH,7.9178,98.3332,84.0,94,75,1.14,broken clouds
147,Batemans Bay,AU,-35.7167,150.1833,57.0,87,7,3.22,clear sky
148,Provideniya,RU,64.3833,-173.3,37.4,70,0,2.24,clear sky
