City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
199,Bayji,IQ,84.2,broken clouds,34.9311,43.486999999999995,قريه جديده
200,Menongue,AO,67.21,overcast clouds,-14.6585,17.691,Ritz Lauca
201,Wahiawa,US,81.0,broken clouds,21.5028,-158.0236,Aloha Wahiawa
202,Bharatpur,IN,79.47,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
203,San Patricio,US,82.99,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
207,Puerto Del Rosario,ES,68.0,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
210,Namibe,AO,77.88,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
211,Cam Ranh,VN,78.8,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
213,Huicheng,CN,69.8,few clouds,23.0385,116.2899,Huilai Hotel
214,Mongomo,GQ,71.37,broken clouds,1.6274,11.3135,NAIM OBUC
217,Bandundu,CD,75.97,scattered clouds,-3.3167,17.3667,Coja Color
220,Rivadavia,AR,68.0,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
223,Pauini,BR,76.91,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
224,Mandiana,GN,84.67,light rain,10.6333,-8.6833,Centre d'accueil de Mandiana
225,Kruisfontein,ZA,70.03,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
226,Conceicao Do Araguaia,BR,75.2,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
231,Chikodi,IN,77.56,overcast clouds,16.4333,74.6,OYO 71219 Shree Huligaumma And Company
232,Cayenne,GF,81.0,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
234,Salinopolis,BR,79.5,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
237,Gorontalo,ID,74.79,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
240,Sao Joao Da Barra,BR,78.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
244,Padang,ID,77.41,broken clouds,-0.9492,100.3543,Mercure Padang
247,Sainte-Suzanne,RE,75.2,few clouds,-20.9061,55.6089,Gites Ango
248,Gibgos,PH,75.92,broken clouds,13.859000000000002,123.7675,
250,Meulaboh,ID,76.39,broken clouds,4.1363,96.1285,Kost Pria
251,Mackay,AU,71.6,overcast clouds,-21.15,149.2,International Lodge Motel
255,Barahona,DO,80.6,few clouds,18.2085,-71.1008,Hotel Caribe
259,Pandhana,IN,84.78,broken clouds,21.7,76.2167,ठा. करण सिंह चौहान
263,Kattivakkam,IN,82.4,scattered clouds,13.2167,80.3167,Raj's villa
267,Matara,LK,77.22,few clouds,5.9485,80.5353,Amaloh Boutique Resort
268,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
269,Nhulunbuy,AU,77.0,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
271,Mount Isa,AU,73.4,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
273,Buala,SB,83.35,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
274,Peyima,SL,70.77,overcast clouds,8.7,-11.0333,
275,Kudahuvadhoo,MV,82.62,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
284,Luanda,AO,80.6,light rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
287,Alyangula,AU,75.2,light rain,-13.8483,136.4192,Groote Eylandt Lodge
291,Valdosta,US,78.8,clear sky,30.8327,-83.2785,Courtyard by Marriott Valdosta
295,Zhuhai,CN,75.2,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
